date,amount,description,type
2024-05-27,1980,Джинсы в Befree,расход
2024-05-28,410,Хозтовары в ОБИ,расход
2024-05-29,2900,Оплата курсов по Python,расход
2024-05-30,180,Перевод брату на Тинькофф,расход
2024-05-31,920,Ужин в итальянском ресторане,расход
2024-06-01,670,Фрукты в супермаркете,расход
2024-06-02,46000,Зарплата за май,доход
2024-06-03,250,Проезд на поезде в область,расход
2024-06-04,1670,Концерт любимой группы,расход
2024-06-05,890,Визит к терапевту,расход
2024-06-06,2130,Кроссовки в Спортмастере,расход
2024-06-07,520,Моющие средства в гипермаркете,расход
2024-06-08,3400,Онлайн-курсы по Data Science,расход
2024-06-09,220,Перевод маме на карту,расход
2024-06-10,580,Обед в кафе с друзьями,расход
2024-06-11,1450,Мясо и колбаса в мясном отделе,расход
2024-06-12,380,Аренда самоката через приложение,расход
2024-06-13,1020,Билеты на выставку современного искусства,расход
2024-06-14,670,Диагностика в частной клинике,расход
2024-06-15,2890,Костюм в Zolla,расход
2024-06-16,240,Бумага для офиса,расход
2024-06-17,1670,Вебинар по инвестициям,расход
2024-06-18,350,Перевод на мобильный телефон,расход
2024-06-19,480,Завтрак в кофейне перед работой,расход
2024-06-20,1780,Рыба и морепродукты к празднику,расход
2024-06-21,590,Дизель для генератора,расход
2024-06-22,1340,Квест комната с коллегами,расход
2024-06-23,1560,Продукты в Ярче к выходным,расход
2024-06-24,48000,Зарплата за июнь,доход
2024-06-25,420,Проездной на метро на июль,расход
2024-06-26,1950,Ужин в ресторане на день рождения,расход
2024-06-27,610,Лекарства в аптеке 36.6,расход
2024-06-28,920,Продукты в Магните вечером,расход
2024-06-29,2800,Премия за успешный проект,доход
2024-06-30,190,Проезд на автобусе в аэропорт,расход
2024-07-01,2560,Одежда в Wildberries,расход
2024-07-02,680,Ужин в корейском ресторане,расход
2024-07-03,360,Заправка АИ-92,расход
2024-07-04,16000,Фриланс за июнь,доход
2024-07-05,1350,Пломбирование зуба,расход
2024-07-06,170,Кофе в DoubleB,расход
2024-07-07,5900,Аренда квартиры за июль,расход
2024-07-08,470,Книги по английскому языку,расход
2024-07-09,1320,Продукты в Ашане на неделю,расход
2024-07-10,900,Возврат долга от друга,доход
2024-07-11,310,Стрижка в барбершопе,расход
2024-07-12,2300,Ремонт планшета,расход
2024-07-13,95,Поездка на метро в кино,расход
2024-07-14,720,Лекарства в социальной аптеке,расход
2024-07-15,3100,Ужин в ресторане на юбилей,расход
2024-07-16,49000,Зарплата за июль,доход
2024-07-17,1870,Продукты в Пятерочке,расход
2024-07-18,860,Такси с работы,расход
2024-07-19,580,Билеты в кино на Барби,расход
2024-07-20,130,Проезд на электричке,расход
2024-07-21,1420,Подарок на день рождения мамы,расход
2024-07-22,3280,Оплата интернета от Билайн,расход
2024-07-23,780,Футболка в H&M,расход
2024-07-24,490,Витамины в аптеке,расход
2024-07-25,120,Кофе в Шоколаднице,расход
2024-07-26,3200,Премия за перевыполнение KPI,доход
2024-07-27,230,Обед в столовой офиса,расход
2024-07-28,2450,Обувь в магазине,расход
2024-07-29,1050,Цветы и ресторан на свидание,расход
2024-07-30,690,Продукты в Дикси,расход
2024-07-31,530,Абонемент в тренажерный зал,расход
2024-08-01,980,Микроволновка в М.Видео,расход
2024-08-02,120,Поездка на метро,расход
2024-08-03,1670,Ветеринар для кошки,расход
2024-08-04,440,Обед в кафе,расход
2024-08-05,21000,Частный заказ на верстку,доход
2024-08-06,5780,Коммунальные услуги за август,расход
2024-08-07,270,Канцелярия для ребенка в школу,расход
2024-08-08,1620,Продукты в Перекрестке,расход
2024-08-09,85,Проезд на автобусе,расход
2024-08-10,510,Лекарства по рецепту врача,расход
2024-08-11,980,Ужин в паназиатском ресторане,расход
2024-08-12,360,Заправка на Лукойл,расход
2024-08-13,55000,Зарплата с премией за август,доход
2024-08-14,890,Продукты в Марии-Ра,расход
2024-08-15,540,Такси в торговый центр,расход
2024-08-16,1280,Билеты в театр на премьеру,расход
2024-08-17,710,Анализы в лаборатории,расход
2024-08-18,2030,Рубашка в Ostin,расход
2024-08-19,390,Хозтовары в Леруа Мерлен,расход
2024-08-20,2670,Оплата курсов по английскому,расход
2024-08-21,190,Перевод другу на карту Сбер,расход
2024-08-22,870,Ужин в грузинском ресторане,расход
2024-08-23,590,Овощи на рынке,расход
2024-08-24,47000,Зарплата за август,доход
2024-08-25,260,Проезд на поезде,расход
2024-08-26,1540,Концерт джазового оркестра,расход
2024-08-27,830,Визит к офтальмологу,расход
2024-08-28,1980,Кроссовки в Adidas,расход
2024-08-29,480,Средства для уборки,расход
2024-08-30,3120,Курсы по машинному обучению,расход
2024-08-31,240,Перевод сестре на ВТБ,расход
2024-09-01,620,Обед в кафе,расход
2024-09-02,1390,Мясные продукты,расход
2024-09-03,370,Аренда электросамоката,расход
2024-09-04,980,Билеты на фотовыставку,расход
2024-09-05,650,Диагностика в медицинском центре,расход
2024-09-06,2670,Пиджак в магазине одежды,расход
2024-09-07,220,Бумага для принтера,расход
2024-09-08,1450,Вебинар по финансовой грамотности,расход
2024-09-09,330,Перевод на мобильный,расход
2024-09-10,520,Завтрак в кофейне,расход
2024-09-11,1620,Рыба и деликатесы,расход
2024-09-12,610,Бензин на заправке,расход
2024-09-13,1230,Боулинг с друзьями,расход
2024-09-14,1480,Продукты в Ярче,расход
2024-09-15,48000,Зарплата за сентябрь,доход
2024-09-16,430,Проездной на метро на октябрь,расход
2024-09-17,1780,Ужин в ресторане на свидание,расход
2024-09-18,540,Лекарства в аптеке,расход
2024-09-19,850,Продукты в Магните,расход
2024-09-20,2900,Премия за сентябрь,доход
2024-09-21,200,Проезд на автобусе,расход
2024-09-22,2310,Одежда в Ozon,расход
2024-09-23,710,Ужин в пиццерии,расход
2024-09-24,340,Заправка АИ-95,расход
2024-09-25,17000,Фриланс за сентябрь,доход
2024-09-26,1260,Визит к стоматологу,расход
2024-09-27,180,Кофе в кофейне,расход
2024-09-28,6100,Аренда квартиры за октябрь,расход
2024-09-29,520,Книги по психологии,расход
2024-09-30,1410,Продукты в Ашане,расход
2024-10-01,1100,Возврат долга от родственника,доход
2024-10-02,340,Стрижка,расход
2024-10-03,2190,Ремонт компьютера,расход
2024-10-04,95,Поездка на метро,расход
2024-10-05,680,Лекарства в аптеке,расход
2024-10-06,2980,Ужин в ресторане на праздник,расход
2024-10-07,50000,Зарплата за октябрь,доход
2024-10-08,1760,Продукты в Пятерочке,расход
2024-10-09,920,Такси ночью,расход
2024-10-10,540,Билеты в кино,расход
2024-10-11,140,Проезд на электричке,расход
2024-10-12,1380,Подарок на новоселье,расход
2024-10-13,3420,Оплата интернета от МТС,расход
2024-10-14,760,Джинсы в магазине,расход
2024-10-15,470,Витамины в аптеке,расход
2024-10-16,130,Кофе в кофейне,расход
2024-10-17,3400,Премия за октябрь,доход
2024-10-18,240,Обед в столовой,расход
2024-10-19,2560,Обувь в магазине,расход
2024-10-20,1120,Цветы и ужин в ресторане,расход
2024-10-21,730,Продукты в Дикси,расход
2024-10-22,550,Абонемент в йогу,расход
2024-10-23,1040,Чайник в магазине техники,расход
2024-10-24,120,Поездка на метро,расход
2024-10-25,1580,Ветеринар для собаки,расход
2024-10-26,460,Обед в кафе,расход
2024-10-27,23000,Частный заказ на разработку,доход
2024-10-28,5890,Коммунальные услуги за октябрь,расход
2024-10-29,290,Канцелярия для офиса,расход
2024-10-30,1710,Продукты в Перекрестке,расход
2024-10-31,95,Проезд на автобусе,расход
2024-11-01,530,Лекарства в аптеке,расход
2024-11-02,1060,Ужин в японском ресторане,расход
2024-11-03,380,Заправка на Газпромнефти,расход
2024-11-04,56000,Зарплата с премией за ноябрь,доход
2024-11-05,910,Продукты в Марии-Ра,расход
2024-11-06,580,Такси в аэропорт,расход
2024-11-07,1420,Билеты в театр,расход
2024-11-08,690,Анализы в Инвитро,расход
2024-11-09,1890,Куртка в магазине,расход
2024-11-10,420,Хозтовары в ОБИ,расход
2024-11-11,2780,Оплата курсов по программированию,расход
2024-11-12,210,Перевод на карту друга,расход
2024-11-13,940,Ужин в итальянском ресторане,расход
2024-11-14,670,Фрукты в супермаркете,расход
2024-11-15,49000,Зарплата за ноябрь,доход
2024-11-16,270,Проезд на поезде,расход
2024-11-17,1630,Концерт рок-группы,расход
2024-11-18,780,Визит к врачу,расход
2024-11-19,2070,Кроссовки в Спортмастере,расход
2024-11-20,490,Моющие средства,расход
2024-11-21,3290,Курсы по Data Analytics,расход
2024-11-22,230,Перевод родственнику,расход
2024-11-23,590,Обед в кафе,расход
2024-11-24,1520,Мясные продукты,расход
2024-11-25,390,Аренда самоката,расход
2024-11-26,1080,Билеты на выставку,расход
2024-11-27,720,Диагностика в клинике,расход
2024-11-28,2450,Брюки в магазине одежды,расход
2024-11-29,250,Бумага для принтера,расход
2024-11-30,1560,Вебинар по маркетингу,расход
2024-12-01,350,Перевод на телефон,расход
2024-12-02,540,Завтрак в кофейне,расход
2024-12-03,1690,Рыба и морепродукты,расход
2024-12-04,620,Бензин на заправке,расход
2024-12-05,1320,Квест с друзьями,расход
2024-12-06,1570,Продукты в Ярче,расход
2024-12-07,52000,Зарплата за декабрь,доход
2024-12-08,450,Проездной на метро на январь,расход
2024-12-09,1870,Ужин в ресторане на НГ,расход
2024-12-10,590,Лекарства в аптеке,расход
2024-12-11,880,Продукты в Магните к празднику,расход
2024-12-12,3800,Премия к Новому году,доход
2024-12-13,210,Проезд на автобусе,расход
2024-12-14,2670,Одежда в Wildberries,расход
2024-12-15,740,Ужин в кафе,расход
2024-12-16,370,Заправка АИ-95,расход
2024-12-17,19000,Фриланс за декабрь,доход
2024-12-18,1390,Стоматология,расход
2024-12-19,190,Кофе в кофейне,расход
2024-12-20,6300,Аренда квартиры за январь,расход
2024-12-21,580,Книги по саморазвитию,расход
2024-12-22,1520,Продукты в Ашане к празднику,расход
2024-12-23,1300,Возврат долга,доход
2024-12-24,360,Стрижка перед праздником,расход
2024-12-25,2340,Ремонт телефона,расход
2024-12-26,95,Поездка на метро,расход
2024-12-27,710,Лекарства в аптеке,расход
2024-12-28,3450,Новогодний ужин в ресторане,расход
2024-12-29,55000,Зарплата с премией за год,доход
2024-12-30,1820,Продукты к новогоднему столу,расход
2024-12-31,980,Такси в новогоднюю ночь,расход
